nombre, link
1822 Raices Valores Negociables,https://www.cafci.org.ar/ficha-fondo.html?q=41;41
Alpha Acciones,https://www.cafci.org.ar/ficha-fondo.html?q=35;35
Alpha Mega,https://www.cafci.org.ar/ficha-fondo.html?q=36;381
Balanz,https://www.cafci.org.ar/ficha-fondo.html?q=669;1400
Bull Market,https://www.cafci.org.ar/ficha-fondo.html?q=847;2408
Consultatio Acciones Argentina,https://www.cafci.org.ar/ficha-fondo.html?q=216;1208
Consultatio Renta Variable,https://www.cafci.org.ar/ficha-fondo.html?q=514;1037
Fima Acciones,https://www.cafci.org.ar/ficha-fondo.html?q=21;21
Fima PB Acciones,https://www.cafci.org.ar/ficha-fondo.html?q=22;22
HF Acciones Argentinas,https://www.cafci.org.ar/ficha-fondo.html?q=164;164
HF Acciones Lideres,https://www.cafci.org.ar/ficha-fondo.html?q=29;29
